Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),550052,83.6
CENSUS,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),550052,83.6
CENSUS,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),22850003,71.6
CENSUS,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),22850003,71.6
CENSUS,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),22850003,71.6
CENSUS,2014,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,RICE,"RICE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),22850003,71.6
CENSUS,2014,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),686876,74.5
CENSUS,2014,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),686876,74.5
CENSUS,2014,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),686876,79.6
CENSUS,2014,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),686876,79.6
CENSUS,2014,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),752154,70
CENSUS,2014,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),752154,70.2
CENSUS,2014,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),752154,70
CENSUS,2014,YEAR,,STATE,COLORADO,8,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),752154,70.2
CENSUS,2014,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,FLORIDA,12,,,,,,,0,,RICE,"RICE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,FLORIDA,12,,,,,,,0,,RICE,"RICE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,FLORIDA,12,,,,,,,0,,RICE,"RICE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,FLORIDA,12,,,,,,,0,,RICE,"RICE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),19952,82.9
CENSUS,2014,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),19952,82.9
CENSUS,2014,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),281286,61
CENSUS,2014,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),281286,61
CENSUS,2014,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),281286,61.7
CENSUS,2014,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),281286,61.7
CENSUS,2014,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,IDAHO,16,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),248815,77.2
CENSUS,2014,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),248815,78.3
CENSUS,2014,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),15352540,11
CENSUS,2014,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),15601355,10.9
CENSUS,2014,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),1450148,10.9
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),107600,69.9
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),107600,69.9
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),107600,69.9
CENSUS,2014,YEAR,,STATE,INDIANA,18,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),107600,69.9
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),111761,32.4
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),111761,32.4
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),26728762,21.9
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),26728762,21.9
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),26840523,21.8
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),26840523,21.8
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),67180,85.5
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),67180,85.5
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),67180,85.5
CENSUS,2014,YEAR,,STATE,IOWA,19,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),67180,85.5
CENSUS,2014,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),9809,35.5
CENSUS,2014,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9809,35.5
CENSUS,2014,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),5106038,10.3
CENSUS,2014,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),5106038,10.3
CENSUS,2014,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),5115847,10.3
CENSUS,2014,YEAR,,STATE,KANSAS,20,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),5115847,10.3
CENSUS,2014,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),97158,66.3
CENSUS,2014,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),97158,66.3
CENSUS,2014,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT),97158,63.6
CENSUS,2014,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),97158,63.6
CENSUS,2014,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,MAINE,23,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,MAINE,23,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN CONVENTIONAL MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2014,YEAR,,STATE,MAINE,23,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED & EXEMPT), (D),(D)
CENSUS,2014,YEAR,,STATE,MAINE,23,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - SALES IN ORGANIC MARKETS, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
